     1    1   3.650000E+02   3.650000E+02             HEAD    80    80     1 (10F10.3)           
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    24.017    24.014    24.015    24.015    24.015
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000    51.450    51.448    51.448    51.448    51.447    51.447    51.447    51.447    51.447
    51.447    51.447    51.447    51.448 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000    34.374    34.210    34.210    34.210    34.210    34.209
    34.209    34.208    34.208 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000    24.016    24.013    24.013    24.013    24.013    24.013
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000    51.452    51.448    51.447    51.447    51.446    51.446    51.446    51.446    51.446
